Price,Close,High,Low,Open,Volume
Ticker,PFAVAL.CL,PFAVAL.CL,PFAVAL.CL,PFAVAL.CL,PFAVAL.CL
Date,,,,,
2025-06-12,553.8152465820312,559.6042561281849,553.8152465820312,558.6394212038259,608824
2025-06-13,552.8505249023438,557.6747005123118,540.3076683164267,553.8153600243373,7211549
2025-06-16,555.7449951171875,573.1120262145996,555.7449951171875,552.8504899342855,5508810
2025-06-17,556.7097778320312,561.5339526832621,553.8152729212928,555.7449428617851,1405653
2025-06-18,559.6043701171875,559.6043701171875,556.7098647545124,556.7098647545124,438270
2025-06-19,559.6043701171875,559.6043701171875,554.7801945127289,559.6043701171875,444846
2025-06-20,554.7800903320312,559.6042650305707,554.7800903320312,559.6042650305707,914758
2025-06-24,554.7800903320312,559.6042650305707,549.9559156334918,554.7800903320312,3118187
2025-06-25,552.8505249023438,556.7098653903182,550.9208546583565,554.7801951463309,1100029
2025-06-26,554.7800903320312,556.709760211447,554.7800903320312,552.8504204526155,3103480
2025-06-27,549.9560546875,555.7450657894736,549.9560546875,554.7802306058114,1543899
2025-06-30,549.9560546875,549.9560546875,549.9560546875,549.9560546875,0
2025-07-01,552.8505249023438,553.8153600243373,552.8505249023438,549.9560195363629,498796
2025-07-02,552.8505249023438,554.7801951463309,549.9560195363629,552.8505249023438,991779
2025-07-03,548.0263671875,551.8857078014966,548.0263671875,552.8505429549956,559818
2025-07-04,548.0263671875,549.9560374944982,548.0263671875,548.0263671875,393992
2025-07-07,540.3076782226562,553.8153701782227,540.3076782226562,548.0263593401228,2081710
2025-07-08,548.0263671875,552.8505429549956,548.0263671875,540.307685959507,874357
2025-07-09,543.2021484375,550.9208290547292,543.2021484375,548.0263238232683,3564725
2025-07-10,549.9560546875,549.9560546875,544.1670435855264,543.202208401864,680287
2025-07-11,556.7097778320312,556.7097778320312,551.8856029808005,549.9559330403082,1110257
2025-07-14,555.7449951171875,555.7449951171875,554.7801600562201,556.7098301781548,158441
2025-07-15,559.6043701171875,559.6043701171875,554.7801945127289,555.7450296336207,2545090
2025-07-16,559.6043701171875,559.6043701171875,554.7801945127289,559.6043701171875,1925024
2025-07-17,569.2527465820312,569.2527465820312,554.780219126556,559.6043949450477,4687792
2025-07-18,568.2879638671875,569.2527991199331,564.4286228562049,569.2527991199331,1958638
2025-07-21,565.3933715820312,569.2527120023864,565.3933715820312,568.2878768972977,1333839
2025-07-22,562.4988403320312,565.3933455138427,561.5340052714274,565.3933455138427,1686167
2025-07-23,559.6043701171875,563.4637106007543,554.7801945127289,562.4988754798626,741987
2025-07-24,564.4285888671875,565.3934240618323,555.7450721153846,559.6044128939636,1752492
2025-07-25,571.182373046875,574.0768783156936,564.4285274196316,564.4285274196316,4703178
2025-07-28,568.5672607421875,578.2532447412026,566.6300639423845,573.4102527416951,4016821
2025-07-29,552.1009521484375,573.4101117050438,526.9173999451755,568.5671208967242,4202083
2025-07-30,564.6928100585938,564.6928100585938,558.88122024667,552.101032132759,1236536
2025-07-31,559.849853515625,565.6614436905277,555.9754600656898,564.6928453280439,478331
2025-08-01,556.9439697265625,559.8497643512228,556.9439697265625,559.8497643512228,990168
2025-08-04,556.9439697265625,556.9439697265625,556.9439697265625,556.9439697265625,0
2025-08-05,567.5985717773438,570.5043665134052,563.7241787959284,567.5985717773438,2481888
2025-08-06,568.5672607421875,571.4730559418921,561.787071942877,567.598662342286,3065887
2025-08-07,568.5672607421875,568.5672607421875,568.5672607421875,568.5672607421875,0
2025-08-08,578.253173828125,578.253173828125,571.472985860291,568.5671910169336,2178245
2025-08-11,581.1589965820312,586.9705865478516,578.2532015991211,578.2532015991211,259
2025-08-12,579.2217407226562,575.3473478081235,581.1589371799226,581.1589371799226,1137227
2025-08-13,609.248291015625,586.9705315667229,610.2168892525337,579.2217456714527,14250673
2025-08-14,613.1226196289062,613.1226196289062,607.3110308172578,609.2482270878073,3362415
2025-08-15,614.0913696289062,614.0913696289062,561.7870573892202,613.1227712540972,1575117
2025-08-19,629.5888671875,631.5260637019231,615.0598933293269,614.0912950721154,4589615
2025-08-20,625.7144165039062,631.5260055116825,620.8714256640927,629.5888091757571,1758222
2025-08-21,629.5888671875,629.5888671875,624.7458759014423,625.7144741586538,2237058
2025-08-22,639.27490234375,639.27490234375,623.7773289535985,629.5889189749054,1844125
