date,open,high,low,close,volume
2025-03-19,552.8538210134474,562.3857834447136,547.1346435546875,547.1346435546875,1654534
2025-03-20,547.1346649169922,550.9474500383649,533.7899169921875,533.7899169921875,3892505
2025-03-21,533.7899169921875,533.7899169921875,533.7899169921875,533.7899169921875,0
2025-03-24,533.7899169921875,533.7899169921875,533.7899169921875,533.7899169921875,0
2025-03-25,519.4919131723121,538.5558365914795,527.1174825399792,528.0706787109375,5024734
2025-03-26,528.0705877608842,573.823996086737,521.398215713364,530.93017578125,4920863
2025-03-27,530.9301559093386,543.3217035337935,530.9301559093386,532.8365478515625,3327799
2025-03-28,532.8366081141219,538.5557845876186,520.445059088212,527.117431640625,2363450
2025-03-31,529.3189154128622,539.8478630973857,521.661498915027,538.8906860351562,1769276
2025-04-01,538.8906860351562,550.3768107819092,536.019154848468,538.8906860351562,2798188
2025-04-02,538.8907841892106,542.7194931354928,533.1477207697875,539.8479614257812,5511133
2025-04-03,539.8479638929317,544.6338500976562,528.3618370015927,544.6338500976562,1376493
2025-04-04,544.6338232962408,537.933582939345,502.51802676718177,518.7900390625,6600611
2025-04-07,518.7900390625,520.7043934501845,502.51802676718177,518.7900390625,1558971
2025-04-08,518.78998546782,526.4474022274926,499.6464435686384,502.5179748535156,3358983
2025-04-09,502.5180192427202,526.4474487304688,494.8606018066406,526.4474487304688,5762438
2025-04-10,526.4474022274926,526.4474022274926,501.5607977585566,502.5179748535156,2507000
2025-04-11,502.518011075314,516.8756685346086,489.1175307799723,512.0897827148438,5266312
2025-04-14,512.0898460105614,522.6187961154513,516.875732421875,516.875732421875,896045
2025-04-15,516.875732421875,516.875732421875,514.9613778573495,516.875732421875,267213
2025-04-16,516.8756005598262,538.8906724355224,508.26100721716244,536.976318359375,6401542
2025-04-17,536.976318359375,536.976318359375,536.976318359375,536.976318359375,0
2025-04-18,536.976318359375,536.976318359375,536.976318359375,536.976318359375,0
2025-04-21,536.9762909647807,539.8478219325067,529.3188750508443,533.1475830078125,1096879
2025-04-22,533.1477594743695,553.2484829015899,530.2762275561952,545.591064453125,8960890
2025-04-23,545.591064453125,549.4197736773574,536.0192913925439,545.591064453125,762768
2025-04-24,545.5909186528569,550.3768039041977,541.7622104517842,546.548095703125,1728672
2025-04-25,548.758472429242,548.758472429242,542.0311356393914,547.7974243164062,328290
2025-04-28,547.7974243164062,552.6026648805852,547.7974243164062,547.7974243164062,711635
2025-04-29,547.7974243164062,547.7974243164062,547.7974243164062,547.7974243164062,379554
2025-04-30,547.7974698269409,552.6027107903351,542.9922288635466,551.6416625976562,3229707
2025-05-01,551.6416625976562,551.6416625976562,551.6416625976562,551.6416625976562,0
2025-05-02,551.6417460971409,557.4080361260309,552.6027944352892,553.5638427734375,989241
2025-05-05,553.5638651600347,557.4080586680903,549.7196716519788,555.4859619140625,1468490
2025-05-06,547.7974698269409,552.6027107903351,542.9922288635466,551.6416625976562,3229707
2025-05-07,557.4079282591944,565.0963134765625,557.4079282591944,565.0963134765625,1891375
2025-05-08,565.0964477539063,576.6290283203125,563.1743509928385,576.6290283203125,6300840
2025-05-09,576.6288105566897,575.6677625390953,567.9793783983393,573.7456665039062,1260884
2025-05-12,573.7456665039062,562.2130902927724,576.6288105566897,573.7456665039062,1889755
2025-05-13,573.745883178711,573.745883178711,581.4342702229818,576.6290283203125,1664656
2025-05-14,576.6288105566897,573.7456665039062,584.3171946974456,573.7456665039062,925432
2025-05-15,573.745883178711,576.6290283203125,567.018544514974,576.6290283203125,2037755
2025-05-16,576.62894462662,576.62894462662,573.7457999034868,574.7068481445312,953007
2025-05-19,574.7070091298763,572.784912109375,560.2912814761169,572.784912109375,977219
2025-05-20,572.784912109375,572.784912109375,567.9796695581218,572.784912109375,879696
2025-05-21,572.7848389507973,572.7848389507973,557.4080647507759,561.2522583007812,1593166
2025-05-22,561.2522085336539,562.2132568359375,557.4080153245193,562.2132568359375,1287723
2025-05-23,562.2132568359375,567.0184983473558,560.2911602313702,562.2132568359375,1922212
2025-05-26,562.2132071537369,567.018448240521,562.2132071537369,563.1742553710938,1063587
2025-05-27,565.3934240618323,568.2879296457666,563.4637536725428,564.4285888671875,1215229
2025-05-28,564.4285888671875,568.2879296457666,563.4637536725428,564.4285888671875,1132287
2025-05-29,564.4285286871648,564.4285286871648,550.9208374023438,550.9208374023438,1028748
2025-05-30,550.9209308427634,561.5341186523438,559.6044481415109,561.5341186523438,2313856
2025-06-03,561.5340567881871,574.0769137267548,567.3230676829106,568.2879028320312,1900305
2025-06-04,568.2879028320312,576.9714191741166,564.4285622355488,568.2879028320312,989211
2025-06-05,568.287833077567,569.252668108259,562.4988228934152,567.322998046875,363752
2025-06-06,567.3231748383621,565.3935041756466,559.6044921875,559.6044921875,725642
2025-06-09,559.6044140456045,567.3230956186474,557.6747436523438,557.6747436523438,679281
2025-06-10,557.6747776306781,573.1121417173405,561.5341186523438,561.5341186523438,1692075
2025-06-11,561.5340316851523,567.3230423210816,555.7450210492228,558.6395263671875,1159880
2025-06-12,558.6395443374687,559.6043794744937,553.8153686523438,553.8153686523438,608824
2025-06-13,553.8153600243373,557.6747005123118,540.3076683164267,552.8505249023438,7211549
2025-06-16,552.8505506515503,573.1120891571045,555.7450561523438,555.7450561523438,5508810
2025-06-17,555.7450037911611,561.5340142473191,553.8153336391085,556.7098388671875,1405653
2025-06-18,556.7099861934267,559.6044921875,556.7099861934267,559.6044921875,438270
2025-06-19,559.6044921875,559.6044921875,554.7803155307113,559.6044921875,444846
2025-06-20,559.6042650305707,559.6042650305707,554.7800903320312,554.7800903320312,914758
2025-06-24,554.7800903320312,559.6042650305707,549.9559156334918,554.7800903320312,3118187
2025-06-25,554.7801951463309,556.7098653903182,550.9208546583565,552.8505249023438,1100029
2025-06-26,552.8504204526155,556.709760211447,554.7800903320312,554.7800903320312,3103480
2025-06-27,554.7802306058114,555.7450657894736,549.9560546875,549.9560546875,1543899
2025-06-30,549.9560546875,549.9560546875,549.9560546875,549.9560546875,0
2025-07-01,549.9560195363629,553.8153600243373,552.8505249023438,552.8505249023438,498796
2025-07-02,552.8505249023438,554.7801951463309,549.9560195363629,552.8505249023438,991779
2025-07-03,552.8504813825581,551.8856463365152,548.0263061523438,548.0263061523438,559818
2025-07-04,548.0263061523438,549.9559762444295,548.0263061523438,548.0263061523438,393992
2025-07-07,548.0264212472098,553.8154327392579,540.3077392578125,540.3077392578125,2081710
2025-07-08,540.307625784001,552.8504813825581,548.0263061523438,548.0263061523438,874357
2025-07-09,548.0263854004774,550.92089095717,543.2022094726562,543.2022094726562,3564725
2025-07-10,543.202208401864,549.9560546875,544.1670435855264,549.9560546875,680287
2025-07-11,549.9559933350032,556.7098388671875,551.8856634870559,556.7098388671875,1110257
2025-07-14,556.7098913192749,555.7450561523438,554.7802209854126,555.7450561523438,158441
2025-07-15,555.745150862069,559.6044921875,554.7803155307113,559.6044921875,2545090
2025-07-16,559.6044921875,559.6044921875,554.7803155307113,559.6044921875,1925024
2025-07-17,559.6043349443856,569.252685546875,554.7801596431409,569.252685546875,4687792
2025-07-18,569.2527379811519,569.2527379811519,564.4285622355488,568.2879028320312,1958638
2025-07-21,568.2879382449206,569.2527734541649,565.3934326171875,565.3934326171875,1333839
2025-07-22,565.3934068630736,565.3934068630736,561.5340662018921,562.4989013671875,1686167
2025-07-23,562.4989981815733,563.463833512931,554.7803155307113,559.6044921875,741987
2025-07-24,559.6044128939636,565.3934240618323,555.7450721153846,564.4285888671875,1752492
2025-07-25,564.4285274196316,574.0768783156936,564.4285274196316,571.182373046875,4703178
2025-07-28,573.4101296316013,578.2531205913277,566.6299422879845,568.567138671875,4016821
2025-07-29,568.5671837522273,573.410175095943,526.9174581962719,552.1010131835938,4202083
2025-07-30,552.101032132759,564.6928100585938,558.88122024667,564.6928100585938,1236536
2025-07-31,564.6928453280439,565.6614436905277,555.9754600656898,559.849853515625,478331
2025-08-01,559.8497029976223,559.8497029976223,556.9439086914062,556.9439086914062,990168
2025-08-04,556.9439086914062,556.9439086914062,556.9439086914062,556.9439086914062,0
2025-08-05,567.5986328125,570.5044278610281,563.7242394144624,567.5986328125,2481888
2025-08-06,567.5985404799297,571.4729332477108,561.786951328258,568.567138671875,3065887
2025-08-07,568.567138671875,568.567138671875,568.567138671875,568.567138671875,0
2025-08-08,568.56707099135,578.2530517578125,571.4728652212888,578.2530517578125,2178245
2025-08-11,578.2532623291015,586.9706481933594,578.2532623291015,581.1590576171875,259
2025-08-12,581.1589371799226,575.3473478081235,581.1589371799226,579.2217407226562,1137227
2025-08-13,579.221803698517,586.970590370069,610.2169503847252,609.2483520507812,14250673
